이름,학명,영명,유통명,과명,원산지,TIP,분류,생육형태,생장높이,생장너비,실내정원구성,생태형,잎형태,잎무늬,잎색,꽃피는 계절,꽃색,열매 맺는 계절,열매색,향기,번식방법,번식시기,관리수준,관리요구도,광요구도,배치장소,생장속도,생육적온,겨울최저온도,습도,비료,토양,물주기-봄,물주기-여름,물주기-가을,물주기-겨울,병충해
디펜바키아 '트로픽스노우',Dieffenbachia amoena 'Tropic snow',dumb cane,"디펜카키아, 디펜바키아 (추천 유통명 : 디펜바키아 '트로픽스노우')",천남성과,열대 아메리카,"컨테이너, 특색있는 식물, 실내식물, 열대식물",잎보기식물,풀모양,,,"중층목,하층목",일반형,엽첨이 날렵하고 긴타원형,점무늬,"녹색, 연두색,금색, 노란색",,,,,거의 없음,"삽목,분주,기타",,경험자,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",빠름,21~25℃,13℃ 이상,40 ~ 70%,비료를 많이 요구함,"산성, 중성 / 양질토",토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레,온실가루이"
떡갈잎 고무나무,Ficus lyrata,fiddle leaf fig,"떡갈나무, 떡깔나무 (추천 유통명 : 떡갈잎고무나무)",뽕나무과,서아프리카,"컨테이너, 실내식물, 나무그늘, 가로수, 토피어리, 분재, 열대식물",잎보기식물,"직립형, 관목형",,,상층목,일반형,바이올린 이나 고대현악기 모양 / 광택,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,"삽목,기타",봄,초보자,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,16~20℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함(봄과 여름 2주에 한번씩 수용성 비료 줌),"산성, 중성, 알칼리성 / 양질토, 모래",토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
러브체인,Ceropegia woodii,"rosary vine, string of hearts",러브체인,박주가리과,"짐바브웨, 나타루(브라질)",행잉 바스켓,잎보기식물,"덩굴성, 다육형",,,지피식물,건조형,심장모양,"점무늬,기타 (무늬없음 등)","녹색, 연두색,은색, 회색",,,,,거의 없음,"삽목,분주","봄, 여름",경험자,보통 (약간 잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,16~20℃,10℃,40% 미만,"비료를 거의 요구하지않음 (2회/년, 4월, 7월 수용성비료 줌)",화분용영양토,화분 흙 대부분 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
렉스베고니아,Begonia rex,rex begonia,렉스베고니아,베고니아과,동남아시아,"컨테이너, 행잉바스켓, 기초식재, 실내식물, 열대식물",잎&꽃보기식물,풀모양,,,하층목,일반형,심장 또는 쐐기 모양 / 가장자리 톱니 / 벨벳,"점무늬,잎 가장자리 무늬","녹색, 연두색,흰색, 크림색","봄,여름","분홍색,흰색",,,거의 없음,삽목,"봄, 여름",경험자,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,16~20℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함(봄과 가을에 수용성비료를 2주에 한번 줌),"중성 / 양질토, 모래",토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"진딧물,응애,깍지벌레,온실가루이"
루모라고사리,Rumohra adiantiformis,"leather leaf fern, seven weeks fern",루모라고사리,고란초과,남아프리카,"컨테이너, 꽃꽂이, 기초식재, 혼합테두리식재, 실내식물, 열대식물",잎보기식물,"덩굴성, 풀모양",,,"하층목,지피식물",일반형,넓은 삼각형 비늘잎,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,"분주,기타",봄 (포자번식),전문가,특별 관리 요구,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,16~20℃,5℃,70% 이상,비료를 보통 요구함,"산성, 중성 / 점토, 양질토",흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),토양 표면이 말랐을때 충분히 관수함,"응애,깍지벌레"
루스커스,Ruscus spp.,Ruscus spp.,루스커스,백합과,"지중해, 아프리카",,잎보기식물,관목형,,,중층목,일반형,엽첨과 엽각이 뾰족한 작은 잎,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,"파종,삽목,분주",3월,초보자,낮음 (잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,16~20℃,5℃,40 ~ 70%,비료를 보통 요구함,배수 잘 됨 / 모래,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
마란타 류코뉴라,Maranta leuconeura,"rabbit's tracks, rabbit's foot, prayer plant","마란다, 마란타 (추천 유통명 : 마란타 류코뉴라)",마란타과,"중앙 아메리카, 브라질","컨테이너, 행잉 바스켓, 침실식재, 특색있는 식물, 실내식물, 열대식물",잎보기식물,풀모양,,,하층목,일반형,넓은 타원형,"줄무늬,점무늬","녹색, 연두색,빨강, 분홍, 자주색,기타",,,,,거의 없음,"분주,기타",여름,초보자,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",빠름,16~20℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함(가을에 수용성비료를 2주에 한번 줌),"산성, 중성, 알칼리 / 양질토, 모래 / 건조한 토양",토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,"응애,깍지벌레,온실가루이"
마삭줄,Trachelospermum asiaticum,Trachelospermum asiaticum,"마삭나무, 마삭줄 (추천 유통명 : 마삭줄)",협죽도과,"한국, 일본, 대만","컨테이너, 지피식재, 행잉바스켓, 암석정원, 토피아리, 분재, 울타리",잎&꽃보기식물,덩굴성,,,"중층목,하층목,지피식물",일반형,"타원형, 달걀형 / 광택","잎 가장자리 무늬,기타 (무늬없음 등)","녹색, 연두색,금색, 노란색,흰색, 크림색,빨강, 분홍, 자주색",여름,"노랑색,흰색",,,강함,삽목,"가을, 겨울",초보자,보통 (약간 잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,16~20℃,0℃ 이하,40 ~ 70%,비료를 보통 요구함 (2~3개월에 한번씩 수용성 비료 줌),"산성, 중성, 알칼리성 / 점토, 양질토, 모래",토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,"응애,깍지벌레"
만년청,Rohdea japonica,"Nippon lily, sacrea lily, Japanese sacred lily",만년청,백합과,"일본, 한국, 중국",,"잎보기식물, 열매보기식물",풀모양,,,하층목,일반형,바소꼴 / 광택,"점무늬,잎 가장자리 무늬","녹색, 연두색,흰색, 크림색,기타","봄,여름","노랑색,흰색",,빨강색,약함,"파종,분주",9~10월 가을,초보자,낮음 (잘 견딤),"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","실내 어두운 곳 (실내깊이 500 이상cm)
거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,21~25℃,0℃ 이하,40 ~ 70%,비료를 보통 요구함,"물빠짐이 좋은 토양 / 모래, 경석, 하이드로볼",토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
만데빌라,Mandevilla sanderi,"Brazilian Jasmine, Red Riding Hood, Pink Allamanda","넬슨, 만데빌라 (추천 유통명 : 만데빌라)",협죽도과,브라질,"컨테이너, 행잉바스켓, 토피아리, 분재, 실내식물, 열대식물",잎&꽃보기식물,덩굴성,,,"중층목,하층목",일반형,끝이 뾰족한 난형,기타 (무늬없음 등),"녹색, 연두색","봄,여름,가을","분홍색,빨강색,노랑색,흰색",,,거의 없음,삽목,봄,경험자,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,16~20℃,13℃ 이상,40 ~ 70%,"비료를 보통 요구함(반희석한 수용성비료를 봄, 여름 2주에 한번 줌)","산성, 중성, 알칼리성 / 양질토, 모래 / 건조한토양",토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레,온실가루이"
멕시코소철,Zamia pumila,sago palm,멕시코소철,소철과,"멕시코, 자마이카, 콜롬비아, 서인도","컨테이너, 지피식재, 혼합테두리식재, 해안식재, 특색있는식물, 열대식물",잎보기식물,풀모양,,,중층목,"일반형,건조형","손바닥, 고사리잎 모양 / 광택",기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,파종,,초보자,낮음 (잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",빠름,21~25℃,10℃,40 ~ 70%,비료를 거의 요구하지않음,"산성, 중성, 알칼리성 / 양질토, 모래",토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
멜라니 고무나무,Ficus elastica 'Robusta',"Robust Rubbertree, Rubber Plant, Rubbertree",멜라니 고무나무,뽕나무과,"인도, 말레이시아","컨테이너, 열대식물, 실내식물, 그늘제공",잎보기식물,관목형,,,중층목,일반형,엽첨부분이 좁아지는 타원형 / 크고 넓은 잎 / 두껍고 광택,기타 (무늬없음 등),"녹색, 연두색,빨강, 분홍, 자주색",,,,,거의 없음,"삽목,기타","봄, 여름",경험자,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,21~25℃,13℃ 이상,40 ~ 70%,"비료를 보통 요구함 (봄, 여름에 수용성 비료를 2주에 한번 줌)","산성, 중성, 알칼리성 / 양질토, 모래 / 건조한토양",토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,"응애,깍지벌레,온실가루이"
목베고니아,Begonia lucerna,lucerna begonia,목베고니아,베고니아과,"브라질, 멕시코, 필리핀","컨테이너, 침실식재, 테두리식재, 실내식물, 다년생식물",잎&꽃보기식물,관목형,,,"중층목,하층목",일반형,중간크기의 잎 / 토란잎 모양과 흡사 / 비율은 불규칙한 형태,점무늬,"녹색, 연두색,흰색, 크림색","봄,여름","분홍색,빨강색",,,약함,삽목,,초보자,보통 (약간 잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,"중성(pH 6-7) / 모래, 식양토",흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),토양 표면이 말랐을때 충분히 관수함,"응애,깍지벌레,총채벌레,온실가루이"
몬스테라,Monstera deliciosa,"swiss cheese plant, window plant, cut leaf philodendron, geriman, fruit salad plant",몬스테라,천남성과,"멕시코남부, 파나마, 중앙 아메리카(과테말라)","식용, 특색있는 식물, 실내식물, 덩굴식물",잎보기식물,"덩굴성, 풀모양",,,중층목,일반형,심장형 둥근모양 / 깃털처럼 갈라지고 군데군데 구멍 / 광택,기타 (무늬없음 등),"녹색, 연두색",,흰색,,,약함,"파종,삽목",여름,초보자,보통 (약간 잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,16~20℃,13℃ 이상,70% 이상,"비료를 보통 요구함(봄, 여름에 수용성 비료를 2주에 한번 줌)","산성, 중성 / 양질토, 모래",흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),토양 표면이 말랐을때 충분히 관수함,"응애,깍지벌레"
무늬관음죽,Rhapis excelsa 'Variegata',variegated lady palm,무늬관음죽,야자과,"한국, 일본, 중국남동부","컨테이너, 해안식재, 혼합테두리식재, 실내식재, 울타리, 열대식물",잎보기식물,관목형,,,중층목,일반형,손바닥모양 겹잎 / 뾰족한톱니 / 광택,줄무늬,"녹색, 연두색,흰색, 크림색",,,,,거의 없음,분주,5~6월(분주),경험자,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,16~20℃,10℃,40 ~ 70%,비료를 보통 요구함 (가을~봄 한달에 한번 수용성 비료 줌),"산성, 중성 / 양질토, 모래 / 건조한토양",토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
무늬마삭줄,Trachelospermum asiaticum var.variegatum,Yellow Star Jasmine,무늬마삭줄,협죽도과,"한국, 일본, 아시아","컨테이너, 지피식물, 행잉바스켓, 암석정원, 분재, 토피아리, 울타리",잎보기식물,덩굴성,,,"하층목,지피식물","일반형,수경형",작은잎 / 타원형 / 광택,"점무늬,잎 가장자리 무늬","녹색, 연두색,금색, 노란색,흰색, 크림색,빨강, 분홍, 자주색",,"노랑색,흰색",,,강함,삽목,,초보자,보통 (약간 잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,16~20℃,5℃,40 ~ 70%,비료를 보통 요구함 (수용성비료를 2~3개월에 한번씩 줌),"산성, 중성, 알칼리성 / 점토, 양질토, 모래 / 건조한토양",흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),토양 표면이 말랐을때 충분히 관수함,"응애,깍지벌레"
무늬벤자민고무나무,Ficus benjamina 'Variegata',"weeping fig, Benjamin tree",무늬벤자민고무나무,뽕나무과,"남아시아(인도), 동남아시아(말레이시아), 오스트랄리아북부","꽃말 '변덕쟁이' (컨테이너, 특색있는 식물, 분재, 실내식물, 차폐방풍식재, 그늘제공, 토피아리 용)",잎보기식물,직립형,,,"상층목,중층목",일반형,"달걀모양, 타원형 / 광택","점무늬,잎 가장자리 무늬","녹색, 연두색,흰색, 크림색",,,,,거의 없음,"삽목,접목","봄, 여름",초보자,보통 (약간 잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",느림,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,"산성, 중성, 알칼리성 / 양질토, 모래 / 건조하고 배수가 잘되는 토양",토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
무늬산호수,Ardisia pusilla 'Variegata',"Japanese Ardisia, Marlberry, Variegated Japanese Ardisia",무늬산호수,자금우과,"한국, 중국, 일본","꽃말 '용감, 총명' (컨테이너, 테두리식재, 혼합경계식재, 암석정원, 토피아리, 실내식물)","잎보기식물, 열매보기식물","관목형, 덩굴성",,,하층목,일반형,엽첨과 엽각이 뾰족한 타원형 / 광택,"점무늬,잎 가장자리 무늬","녹색, 연두색,흰색, 크림색","봄,여름","분홍색,흰색",,빨강색,,"삽목,분주",여름,초보자,보통 (약간 잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,21~25℃,0℃ 이하,40 ~ 70%,비료를 보통 요구함(완효성 비료를 한달에 한번 줌),산성 / 양질토 / 건조하고 배수가 잘되는 토양,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레,온실가루이"
무늬석창포,Acorus gramineus var. variegatus,"Grassleaf Sweet Flag, Variegated Sweet Flag",무늬석창포,천남성과,"아시아, 일본","습지, 테두리, 지피식물, 수경식재",잎보기식물,"풀모양, 로제트형",,,하층목,"일반형,수경형",가늘고 긴 잎,줄무늬,"녹색, 연두색,흰색, 크림색",,,,,약함,분주,,초보자,낮음 (잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",느림,21~25℃,0℃ 이하,40 ~ 70%,비료를 보통 요구함,"산성, 중성 / 점토, 양질토, 모래",흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),화분 흙 대부분 말랐을때 충분히 관수함,응애
무늬쉐플레라'홍콩',Schefflera arboricola 'Hong Kong Variegata',"Umbrella tree, Umbrella Plant",무늬쉐플레라'홍콩',두릅나무과,동남아시아 자생종의 원예품종,"컨테이너, 특색있는식물, 울타리, 실내식재, 혼합테두리식재, 스크레닝, 방풍림, 토피아리",잎보기식물,"직립형, 관목형",,,중층목,일반형,손바닥모양 / 넓은 타원형,"점무늬,잎 가장자리 무늬","녹색, 연두색,금색, 노란색,기타",,,,,거의 없음,삽목,"봄, 여름",초보자,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함 (봄부터 초가을까지 한달에 1번 정도 줌),"산성, 중성, 알칼리성 / 양질토, 모래",토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
무늬알피니아,Alpinia zerumbet 'Variegata',"variegated shell-flower, variegated ginger",,생강과,솔로몬군도,,잎&꽃보기식물,풀모양,,,중층목,일반형,,줄무늬,"녹색, 연두색,흰색, 크림색","봄,여름","오렌지색,흰색,혼합색",,,약함,"분주,기타",,초보자,낮음 (잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,,,,,,"응애,깍지벌레"
무늬유카,Yucca elephantipes 'Variegata',"Spineless yucca, Giant yucca",무늬유카,백합과,"중앙아메리카 (사막, 평원)","실내식물, 열대식물, 모래사장식재",잎보기식물,직립형,,,"상층목,중층목","일반형,건조형",길고 뾰족한 잎 / 두꺼움,줄무늬,"녹색, 연두색,금색, 노란색",,흰색,,,거의 없음,"삽목,분주",,초보자,보통 (약간 잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,21~25℃,7℃,40 ~ 70%,비료를 보통 요구함,가볍고 건조한 토양,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레"
무늬접란,Chlorophytum comosum var. variegatum,spider plant,무늬접란,백합과,남아프리카,"컨테이너, 지피식물, 행잉바스켓, 혼합테두리",잎보기식물,"풀모양, 로제트형",,,"하층목,지피식물","일반형,수경형",가늘고 긴 잎,줄무늬,"녹색, 연두색,금색, 노란색",,흰색,,,거의 없음,분주,,초보자,보통 (약간 잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,21~25℃,13℃ 이상,40 ~ 70%,비료를 보통 요구함,"산성, 중성, 알칼리성 / 양질토, 모래",토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레,온실가루이"
무늬털머위,Farfugium japonicum 'Argenteum',leopard plant,무늬털머위,국화과,"한국남해안, 일본, 대만, 중국 원산종의 변종","습지, 컨테이너, 실내식물, 혼합테두리",잎&꽃보기식물,풀모양,,,"하층목,지피식물",일반형,머위 잎 모양 / 두껍고 신장 모양 / 광택,"점무늬,잎 가장자리 무늬","녹색, 연두색,금색, 노란색,흰색, 크림색","여름,가을",노랑색,,,거의 없음,"파종,분주",,초보자,낮음 (잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,16~20℃,5℃,40 ~ 70%,비료를 보통 요구함,"양질토, 모래",토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,"응애,온실가루이"
무늬팻츠헤데라,Fatshedera lizei 'Variegata',variegated tree ivy,무늬팻츠헤데라,두릅나무과,원예속간 교배종,,잎보기식물,"관목형, 덩굴성",,,"중층목,하층목",일반형,팔손이,"점무늬,잎 가장자리 무늬","녹색, 연두색,흰색, 크림색",,,,,거의 없음,삽목,,,필요함,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",보통,16~20℃,5℃,40 ~ 70%,"비료를 보통 요구함 (유기비료, 수용성비료는 2주에 한번 줌)",,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,깍지벌레,온실가루이"
무늬푸밀라고무나무,Ficus pumila 'Variegata',variegated creeping fig,,뽕나무과,"한국, 일본, 중국남부",,잎보기식물,덩굴성,,,"하층목,지피식물",일반형,,잎 가장자리 무늬,"녹색, 연두색,흰색, 크림색",,,,,,삽목,,,보통 (약간 잘 견딤),"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",,21~25℃,7℃,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,온실가루이"
뮤렌베키아,Muehlenbeckia complexa,"maidenhair vine, creeping wire vine, lacy wire vine, mattress vine",트리안,마디풀과,"뉴질랜드, 호주","덩굴성 관엽식물/실내화단 지피용, 공중걸이",잎보기식물,덩굴성,,,"하층목,지피식물",일반형,,기타 (무늬없음 등),"녹색, 연두색",,,,,거의 없음,삽목,,,낮음 (잘 견딤),"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux)","거실 내측 (실내깊이 300~500cm)
거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)",,16~20℃,10℃,40 ~ 70%,비료를 보통 요구함,,,,,,"진딧물,응애"
바위취,Saxifraga stolonifera,"strawberry saxifrage, magic carpet, mother of thousands",바위취,범위귀과,"일본, 중국, 한국, 대만",,잎&꽃보기식물,"풀모양, 로제트형",,,지피식물,일반형,,줄무늬,"녹색, 연두색,은색, 회색,빨강, 분홍, 자주색",여름,"분홍색,흰색",,,,분주,,,보통 (약간 잘 견딤),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 (실내깊이 150~300cm)
발코니 내측 (실내깊이 50~150cm)
발코니 창측 (실내깊이 0~50cm)",빠름,16~20℃,0℃ 이하,40 ~ 70%,비료를 보통 요구함,,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,토양 표면이 말랐을때 충분히 관수함,화분 흙 대부분 말랐을때 충분히 관수함,"응애,온실가루이"
박쥐란,Platycerium bifurcatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
